Gr,Gs,Algo,Times,Res,Gap
C5_K5,s_TW,ILP,5,531,0.6220855
C5_K5,s_TW,ILP,10,521,0.6118071
C5_K5,s_TW,ILP,20,521,0.6108723
C5_K5,s_Uninett,ILP,5,-999,0.0
C5_K5,s_Uninett,ILP,10,-999,0.0
C5_K5,s_Uninett,ILP,20,-999,0.0
v_Xspedius,s_TW,ILP,5,444,0.5171336
v_Xspedius,s_TW,ILP,10,444,0.5142828
v_Xspedius,s_TW,ILP,20,434,0.5030912
v_Xspedius,s_Uninett,ILP,5,498,0.5447892
v_Xspedius,s_Uninett,ILP,10,495,0.53441
v_Xspedius,s_Uninett,ILP,20,495,0.53154737
v_janos,s_TW,ILP,5,376,0.54600525
v_janos,s_TW,ILP,10,370,0.53781736
v_janos,s_TW,ILP,20,358,0.51942956
v_janos,s_Uninett,ILP,5,446,0.5995705
v_janos,s_Uninett,ILP,10,446,0.59181887
v_janos,s_Uninett,ILP,20,432,0.5768157
